cosmid,gene,fL3mSUM,eL3mSUM,fL4mSUM,eL4mSUM,fADmSUM,eADmSUM,description,KOG,Mountain,fL4s660,eL4s408,FC,fL4s1165,eL4s377,FC.1,fADs1711,eADs2131,FC.2,fADs226,eADs271,FC.3,fADs547,eADs598,FC.4,fL4m1857,eL4m1318,FC.5,fL4m3713,eL4m3494,FC.6,fADm2498,eADm2449,FC.7,fADm2040,eADm2527,FC.8,fADm981,eADm599,FC.9,fADm631,eADm765,FC.10,Input,Suggested Match,History
C32E8.11,C32E8.11,760,345,1127,902,1543,1948,,,Mountain 5,102,18,3.42,390,16,7.73,282,17,19.53,25,3,7.68,65,0,71.83,321,212,1.08,806,690,1.1,689,773,0.87,549,838,0.81,182,148,0.76,123,189,0.79,C32E8.11,WBGene00016326,Sequence name for WBGene00016326(ubr-1). History: N.A.
C33C12.10,C33C12.10,16,6,44,13,27,89,,,,23,1,7.57,107,5,6.05,104,4,26.08,16,0,20.08,40,5,7.44,8,8,0.71,36,5,5.81,9,44,0.22,11,34,0.42,3,4,0.49,4,7,0.75,C33C12.10,WBGene00021985,"Public name for Dead gene WBGene00016342. History of WBGene00016342: Merged into ""WBGene00021985"" on 2020-10-07. Remark: [2020-10-07T16:15:41Z WBPerson1983] Gene Merged into WBGene00021985: Merged the annotation based on RNASeq splice data and lack of any information suggesting that they should be 2 genes."
C34B2.9,C34B2.9,3,7,8,11,8,9,,,Mountain 0,61,9,3.91,371,21,5.69,239,28,10.28,262,72,4.26,101,12,8.54,0,3,0.18,8,8,0.94,1,5,0.33,3,2,1.65,2,0,1.86,2,2,1.21,C34B2.9,WBGene00016394,Public name for WBGene00016394. History: N.A.
C34F6.7,C34F6.7,30,14,89,45,22,44,,Uncharacterized conserved protein ,Mountain 1,310,58,3.33,433,27,5.21,2001,332,7.47,38,13,3.29,432,87,5.36,15,16,0.67,74,29,2.35,10,25,0.41,4,17,0.34,6,1,2.16,2,1,1.81,C34F6.7,WBGene00007941,Public name for WBGene00007941. History: N.A.
C37H5.5,C37H5.5,805,360,575,611,974,943,,Protein involved in the nuclear export of pre-ribosomes ,Mountain 5,67,9,4.29,100,4,6.79,130,4,32.54,13,0,16.54,56,6,8.86,156,98,1.13,419,513,0.77,378,352,1.05,334,381,1.08,171,78,1.35,91,132,0.83,C37H5.5,WBGene00016508,Public name for WBGene00016508. History: N.A.
C38D9.2,C38D9.2,14,9,33,130,692,1125,,Unnamed protein ,Mountain 28,1315,45,18.05,2624,45,19.19,440,44,12.17,96,26,4.24,449,51,9.42,4,33,0.1,29,97,0.29,349,505,0.68,294,518,0.7,34,50,0.42,15,52,0.36,C38D9.2,WBGene00008010,Public name for WBGene00008010. History: N.A.
C41G7.3,C41G7.3,240,72,344,294,564,968,,,Mountain 7,120,12,5.87,187,3,15.8,390,6,69.37,37,7,5.61,56,0,62.04,121,102,0.84,223,192,1.09,210,380,0.54,193,425,0.56,77,77,0.62,84,86,1.18,C41G7.3,WBGene00008061,"Sequence name for WBGene00008061(mina-1). History: Split into tspo-1(WBGene00077771). History of WBGene00008061: Split into ""WBGene00077771"" on 2008-06-10"
C46A5.5,C46A5.5,5,3,53,51,110,285,,,Mountain 2,48,4,6.18,40,0,13.79,78,5,16.35,10,0,13.0,28,3,7.89,16,11,1.01,37,40,0.87,44,116,0.38,22,126,0.22,30,20,0.91,14,23,0.75,C46A5.5,WBGene00016701,Sequence name for WBGene00016701(dsb-3). History: N.A.
C47D12.8,C47D12.8,189,54,258,165,840,867,"C47D12.8 encodes an ortholog of the DNA repair protein XPF/ERCC4, which when mutated in humans leads to xeroderma pigmentosum (complementation group F; <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=133520"">OMIM:133520</a>); C47D12.8(RNAi) animals are hypersensitive to ultraviolet radiation, with increased germ cell apoptosis and embryonic lethality; C47D12.8 protein interacts with F10G8.7 (an ERCC1 ortholog) in yeast two-hybrid assays; C47D12.8 is expressed broadly in both embryonic and postembryonic animals, and is required for embryonic development; C47D12.8 is upregulated in dauers, and shares an operon with kel-1 and VF13D12L.3. ","Structure-specific endonuclease ERCC1-XPF, catalytic component XPF/ERCC4 ",Mountain 2,53,8,3.79,98,2,11.1,121,2,50.51,43,4,10.4,29,4,6.53,84,35,1.68,174,130,1.26,317,339,0.92,276,352,0.97,144,58,1.52,103,118,1.05,C47D12.8,WBGene00008140,Sequence name for WBGene00008140(xpf-1). History: Renamed on 2013-10-11; Renamed on 2015-07-01
C47G2.5b,C47G2.5,227,188,349,311,1263,2510,, ,Mountain 5,83,15,3.31,125,3,10.59,333,7,51.85,41,3,12.41,85,0,93.6,113,86,0.93,236,225,0.99,558,981,0.56,486,1082,0.56,115,204,0.35,104,243,0.52,C47G2.5b,WBGene00008166,Molecule name for WBGene00008166(saps-1). History: N.A.
C48B4.10,C48B4.10,10,6,41,43,40,41,,Unnamed protein ,Mountain 2,89,3,14.2,174,2,19.61,109,0,136.61,24,2,9.85,20,1,11.43,17,11,1.07,24,32,0.71,15,17,0.87,16,17,1.17,3,1,1.24,6,6,1.21,C48B4.10,WBGene00008173,Public name for WBGene00008173. History: N.A.
C48B4.11,C48B4.11,9,9,13,28,61,186,,,Mountain 7,40,1,12.94,103,0,34.97,99,0,124.2,23,0,28.35,26,1,14.69,0,5,0.12,13,23,0.55,28,85,0.33,11,72,0.2,11,18,0.39,11,11,1.21,C48B4.11,WBGene00008174,Public name for WBGene00008174. History: N.A.
C50F2.2,C50F2.2,378,94,470,768,2545,2587,,,Mountain 2,58,3,9.31,69,6,3.36,114,6,20.4,15,0,18.9,54,1,29.93,166,100,1.18,304,668,0.43,1023,794,1.26,861,832,1.28,464,418,0.69,197,543,0.44,C50F2.2,WBGene00016836,Public name for WBGene00016836. History: N.A.
C50F2.3,C50F2.3,522,129,709,534,1322,928,,mRNA splicing factor ,Mountain 5,58,10,3.38,103,10,3.18,146,9,18.26,23,3,7.09,49,0,54.42,250,133,1.34,459,401,1.08,524,366,1.4,460,329,1.73,201,96,1.29,137,137,1.21,C50F2.3,WBGene00016837,Sequence name for WBGene00016837(syf-1). History: N.A.
C56E6.3b,C56E6.3,29,10,111,118,574,1296,,,Mountain 7,87,11,4.63,137,3,11.6,176,0,219.83,13,0,16.54,43,1,23.94,4,21,0.16,107,97,1.04,233,571,0.4,184,558,0.41,96,67,0.88,61,100,0.74,C56E6.3b,WBGene00016971,Molecule name for WBGene00016971(toe-2). History: N.A.
C56G2.7,C56G2.7,1252,465,1857,1365,1472,1964,,Cell membrane glycoprotein ,Mountain 19,110,11,5.84,261,7,11.01,223,5,46.37,36,4,8.74,96,3,26.39,451,344,0.93,1406,1021,1.3,612,848,0.71,485,793,0.76,235,147,0.99,140,176,0.96,C56G2.7,WBGene00016981,Sequence name for WBGene00016981(rpn-13). History: N.A.
Y18D10A.17,car-1,926,489,1521,3288,11528,10373,"car-1 encodes a putative RNA-binding protein orthologous to budding yeast Scd6p, fission yeast Sum2p, Drosophila TRAL, and human LSM14A and LSM14B; CAR-1 inhibits physiological apoptosis in oocytes, keeping it down to a normal level of ~50% in hermaphrodite gonads; independently of apoptosis, CAR-1 is also required for normal oogenesis, early embryonic cytokinesis, and normally organized endoplasmic reticulum (ER); CAR-1 has an N-terminal Sm-related domain that is dispensable for subcellular localization, but directly binds RNA and is critical for CAR-1's function; CAR-1 expressed in the germline; CAR-1 associates with CGH-1, DCAP-1, and CEY-2/3/4, in P granules and other cytoplasmic particles of the early embryo; CAR-1 also localizes to the mitotic spindle of dividing 1-cell embryos, and to ER; CAR-1 requires CGH-1 for normal localization in meiotic germ cells, and binds CGH-1 in an RNA-dependent manner; car-1(tm1753) or car-1(RNAi) embryos display abnormal cytokinesis, with aberrant cleavage furrow ingression and anaphase spindle structure, and mislocalized AIR-2, SPD-1, and ZEN-4; car-1(RNAi) also results in elevated (though not 100%) physiological germ cell apoptosis, reduced fertility, and failed oocyte diakinesis; maternal CAR-1 is sufficient to rescue car-1(tm1753) homozygotes through development to adulthood; in car-1(RNAi) animals, excess physiological apoptosis actually promotes fertility, since car-1(RNAi) hermaphrodites have larger brood sizes than those with apoptosis suppressed by ced-3(n717). ",Uncharacterized mRNA-associated protein RAP55 ,Mountain 11,202,11,10.68,396,4,26.7,166,0,207.41,24,0,29.54,56,0,62.04,695,394,1.26,826,2894,0.27,4534,3260,1.36,3840,3554,1.34,2041,1796,0.7,1113,1763,0.76,Y18D10A.17,WBGene00012484,Sequence name for WBGene00012484(car-1). History: Renamed on 2005-12-05
K07C5.8,cash-1,387,91,579,374,1007,1547,"cash-1 encodes an ortholog of Drosophila CKA and the human striatins STRN, STRN3, and STRN4 that is required for vulval development; CASH-1 has an N-terminal region which may bind caveolin or calmodulin, and a C-terminal region with five tandem WD domains; by its orthology with CKA and striatins, CASH-1 is predicted to act as a scaffold linking signal transduction proteins (such as JKK-1 and JNK-1) to transcription factors (such as JUN-1 or FOS-1); CASH-1 is expressed broadly, in both larval and adult pharynx, intestine, rectal epithelium, hypodermis, and neurons, as well as the developing vulva and the adult reproductive system. ","Cell-cycle nuclear protein, contains WD-40 repeats ", ,48,9,3.09,109,9,3.7,182,18,11.96,30,2,12.21,50,1,27.75,112,106,0.75,467,268,1.64,406,632,0.63,343,666,0.64,152,96,0.98,106,153,0.84,K07C5.8,WBGene00010631,Sequence name for WBGene00010631(cash-1). History: N.A.
Y56A3A.20,ccf-1,153,49,144,124,294,344,a homolog of subunit 7 of CCR4-NOT transcription complex from S. cerevisiae. ,mRNA deadenylase subunit ,Mountain 2,35,4,4.54,107,10,3.3,102,13,9.14,33,11,3.35,54,3,14.96,28,60,0.34,116,64,1.69,106,146,0.71,98,147,0.83,48,25,1.17,42,26,1.92,Y56A3A.20,WBGene00000369,Sequence name for WBGene00000369(ccf-1). History: N.A.
ZC518.3b,ccr-4,748,143,720,614,2865,2867,, ,Mountain 3,49,8,3.51,210,3,17.74,131,2,54.65,59,2,23.63,49,3,13.6,234,156,1.07,486,458,1.0,1275,1155,1.08,1077,1255,1.06,298,165,1.11,215,292,0.89,ZC518.3b,WBGene00000376,Molecule name for WBGene00000376(ccr-4). History: N.A.
R07G3.1,cdc-42,300,144,356,358,510,871,"cdc-42 encodes a RHO GTPase which controls polarity of both individual cells and developing embryos by regulating the localization of PAR proteins; CDC-42 is expressed at hypodermal cell boundaries; cdc-42 expression levels are unusually stable, with relatively little variation between adults, dauers, and L3 larvae, or between wild-type and daf-2(e1370ts) or daf-16(m26) mutant adults. ","Ras-related small GTPase, Rho type ",Mountain 5,81,3,12.94,165,4,11.16,113,11,11.8,19,0,23.63,40,0,44.62,73,105,0.5,283,253,1.05,194,359,0.53,169,353,0.59,73,79,0.57,74,80,1.12,R07G3.1,WBGene00000390,Sequence name for WBGene00000390(cdc-42). History: N.A.
C43E11.10,cdc-6,138,84,247,254,1164,1161,"cdc-6 encodes a homolog of an origin complex component (CDC6) which in yeast controls the start of DNA replication, and also has a distant paralog (Y39A1A.12) within the C. elegans genome; CDC-6 is superficially dispensable for embryonic viability, perhaps because of redundancy with Y39A1A.12. ","Pre-initiation complex, subunit CDC6, AAA+ superfamily ATPase ",Mountain 2,83,6,7.57,231,1,39.0,157,1,98.11,44,0,53.17,64,7,8.84,58,57,0.73,189,197,0.9,477,459,1.02,394,454,1.07,170,94,1.11,123,154,0.97,C43E11.10,WBGene00000382,Sequence name for WBGene00000382(cdc-6). History: N.A.
T05G5.3,cdk-1,199,53,325,810,2011,3258,"cdk-1 encodes a cyclin-dependent kinase, orthologous to and functionally interchangeable with CDC28 from S. cerevisiae; CDK-1 is required for cell-cycle progression through M phase in both meiosis and mitosis. ",Protein kinase PCTAIRE and related kinases ,Mountain 11,601,22,16.52,1448,13,34.8,1400,3,434.99,14,1,8.86,303,0,330.86,122,147,0.59,203,663,0.29,812,1272,0.63,656,1335,0.61,356,338,0.65,187,313,0.72,T05G5.3,WBGene00000405,Sequence name for WBGene00000405(cdk-1). History: N.A.
R06F6.1,cdl-1,289,158,447,356,2280,1800,"cdl-1 encodes a homolog of human hairpin (stem-loop) binding proteins (HBP/SLBP) that bind to the hairpin (stem-loop) structure in the 3' untranslated region (3' UTR) of histone mRNAs, and thus promote histone pre-mRNA processing and translation of mature histone mRNA; CDL-1 is required for normally high levels of histone gene expression, normal cell division during late larval development, embryonic viability, normal vulval morphogenesis, normally rapid apoptosis, and fertility; CDL-1 binds to the stem-loop structure in the 3' UTR of core-histone mRNA; the cdl-1 promoter is most active in dividing cells during embryogenesis and postembryonic development; both CDL-1 and human HBP contain a minimal RNA-binding domain (RBD) of roughly 73 amino acids that has no similarity with other known RNA-binding motifs. ",Histone mRNA stem-loop binding protein ,Mountain 11,32,3,5.21,133,5,7.51,76,3,23.91,40,4,9.69,39,5,7.26,170,75,1.6,277,281,0.93,778,620,1.23,720,698,1.28,518,193,1.65,264,289,1.1,R06F6.1,WBGene00000411,Sequence name for WBGene00000411(cdl-1). History: N.A.
F46F11.2,cey-2,161,215,1212,2281,18469,10674,"cey-2 encodes a cold-shock/Y-box domain-containing protein; by homology, CEY-2 is predicted to function as either an RNA-binding protein involved in translation or RNA processing, or a DNA-binding protein involved in transcriptional regulation; cey-2 mRNA is expressed maternally in the early embryo, in a pattern characteristic of class II maternal RNAs, which are initially detected throughout the embryo but restricted to the P, or germline, lineage as cell division progresses; CEY-2 associates with CGH-1 and CEY-3/4 in cytoplasmic particles of the gonad and early embryo; as loss of cey-2 activity via large-scale RNAi screens does not result in any obvious abnormalities, the precise role of cey-2 in C. elegans development and/or behavior is not yet known. ",Predicted RNA-binding protein containing PIN domain and invovled in translation or RNA processing ,Mountain 7,75,5,7.99,120,1,20.34,123,0,154.0,12,0,15.36,36,1,20.13,522,285,1.3,690,1996,0.33,8217,3905,2.06,6699,3977,2.08,2107,1295,1.01,1446,1497,1.17,F46F11.2,WBGene00000473,Sequence name for WBGene00000473(cey-2). History: N.A.
M01E11.5,cey-3,66,82,592,672,5169,4709,"cey-3 encodes a protein with a cold-shock/Y-box domain; CEY-3 associates with CGH-1, CEY-2, and CEY-4 in cytoplasmic particles of the gonad and early embryo. ",Predicted RNA-binding protein containing PIN domain and invovled in translation or RNA processing ,Mountain 7,102,4,13.0,272,3,22.95,126,1,78.86,18,0,22.45,50,1,27.75,251,127,1.4,341,545,0.59,2082,1772,1.15,1832,2049,1.11,611,370,1.02,644,518,1.5,M01E11.5,WBGene00000474,Sequence name for WBGene00000474(cey-3). History: N.A.
T25G3.2,chs-1,32,9,240,187,5124,4041,"chs-1 encodes a chitin synthase, paralogous to CHS-2; chs-1 is required for embryonic chitin synthesis, eggshell synthesis and osmotic integrity, error-free chromosomal segregation during meiosis, polar body extrusion, association of the sperm pronucleus/centrosome complex (SPCC) with the early embryonic cortex, localization of PAR-2 in early embryos, posterior localization of P granules or PIE-1, and pseudocleavage; CHS-1 is also, independently of chitin synthesis, required for normal localization of MBK-2 to cortex and punctae in early embryos; CHS-1 is dispensable for synthesis of pharyngeal cuticle, since chs-1(ok1120) mutants have it normally; CHS-1 is predicted to be in the plasma membrane rather than the Golgi apparatus. ",,Mountain 7,40,6,3.7,105,6,5.09,208,13,18.54,33,0,40.17,109,1,59.86,62,23,1.87,178,164,1.02,2137,1575,1.33,1757,1650,1.32,771,402,1.18,459,414,1.34,T25G3.2,WBGene00000496,Sequence name for WBGene00000496(chs-1). History: N.A.
F44B9.3b,cit-1.2,168,32,204,170,261,376,"cit-1.2 encodes one of two C. elegans cyclin T orthologs; RNAi experiments indicate that CIT-1.2 functions redundantly with CIT-1.1 to broadly regulate embryonic transcription; by homology, CIT-1.1 and CIT-1.2 are predicted to interact with the CDK-9 kinase to form the P-TEFb transcription elongation factor that in C. elegans is required for Ser2, but not Ser5, phosphorylation in the C-terminal domain (CTD) repeat of AMA-1/PolII. ",CDK9 kinase-activating protein cyclin T ,Mountain 1,144,18,4.82,194,11,5.46,219,5,45.54,14,0,17.72,64,0,70.74,79,44,1.27,125,126,0.93,113,131,0.85,85,157,0.67,38,35,0.67,25,53,0.58,F44B9.3b,WBGene00000508,Molecule name for WBGene00000508(cit-1.2). History: N.A.
C06G4.2d,clp-1,1251,418,1479,930,1118,1692,"clp-1 encodes a calpain homolog that has significant identity to mammalian calpains over its whole length and that contains motifs typical of calpains, including a thiol (cysteine) protease active site and a Ca[2+]-binding domain; CLP-1 is required, in parallel with TRA-3 but in series with ASP-3 and ASP-3, for degenerative (necrotic-like) cell death in neurons induced by mutations such as mec-4(d), deg-3(d), or gsa-1(gf). ","Cytosolic Ca2+-dependent cysteine protease (calpain), large subunit (EF-Hand protein superfamily) ",Mountain ,58,4,7.45,100,8,3.77,123,13,11.0,28,0,34.26,37,5,6.89,546,327,1.19,933,603,1.46,525,668,0.77,357,692,0.64,123,139,0.55,113,193,0.71,C06G4.2d,WBGene00000542,Molecule name for WBGene00000542(clp-1). History: N.A.
R107.6,cls-2,255,168,237,785,572,2197,"cls-2 encodes one of three predicted orthologs of mammalian CLASPs and of Drosophila ORBIT/MAST, microtubule-binding proteins required for fibroblast polarization and mitosis; cls-2 is required in mass RNAi assays for embryonic development and normal mitotic spindles; it has been claimed that, in an RNAi screen of potential microtubule tip-binding proteins, only cls-2(RNAi) yielded embryonic lethality and meiotic defects. ",CLIP-associating protein ,Mountain 5,1186,109,6.81,1635,55,9.82,1479,93,19.55,105,24,5.01,710,33,22.76,77,180,0.31,160,605,0.25,242,870,0.27,195,969,0.25,57,208,0.17,78,150,0.63,R107.6,WBGene00000549,Sequence name for WBGene00000549(cls-2). History: N.A.
F55H2.6,clu-1,635,415,721,509,797,1458,"clu-1 encodes an ortholog of CLU1/TIF31 in S. cerevisiae, which directs proper cytoplasmic distribution of mitochondria and physically interacts with eukaryotic translation initiation factor 3 (eIF3); worm CLU-1 may be required for the proper distribution of mitochondria, but is dispensable for viability and gross morphology in mass RNAi screens. ","Uncharacterized protein CLU1/cluA/TIF31 involved in mitochondrial morphology/distribution, also found associated with eIF-3 ",Mountain 5,77,13,3.52,152,8,5.72,278,7,43.31,10,0,13.0,83,7,11.43,150,126,0.85,571,383,1.4,330,630,0.51,258,665,0.48,132,76,1.07,77,87,1.07,F55H2.6,WBGene00000550,Sequence name for WBGene00000550(clu-1). History: N.A.
C43E11.1,cogc-5,864,263,807,840,2790,1905,"acin-1 encodes an ortholog of human ACIN1 (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=604562"">OMIM:604562</a>, which induces apoptotic chromatin condensation) and Drosophila HOOK-LIKE. ",Acinus (induces apoptotic chromatin condensation) ,Mountain 5,71,7,5.68,315,0,106.25,172,2,71.62,30,3,9.16,45,6,7.15,295,194,1.08,512,646,0.75,1131,678,1.63,958,655,1.81,498,252,1.22,203,320,0.77,C43E11.1,WBGene00016601,Sequence name for WBGene00016601(acin-1). History: N.A.
F29B9.9,col-111,831,130,721,1109,109,51,,"Collagens (type IV and type XIII), and related proteins ",Mountain 16,19,81,0.15,22,219,0.04,45,2611,0.02,5,185,0.04,171,1117,0.17,376,162,1.65,345,947,0.34,43,10,3.92,44,14,3.71,17,12,0.86,5,15,0.45,F29B9.9,WBGene00000685,Sequence name for WBGene00000685(col-111). History: N.A.
F54C9.4,col-38,206,178,9133,19986,275,95,col-38 encodes a member of the collagen superfamily containing collagen triple helix repeats (20 copies) required for normal body morphology. ,"Collagens (type IV and type XIII), and related proteins ",Mountain 35,22,51,0.28,6,31,0.07,48,315,0.19,4,38,0.15,48,203,0.26,5527,3223,1.22,3606,16763,0.2,127,27,4.48,120,23,6.23,19,23,0.52,9,22,0.52,F54C9.4,WBGene00000615,Sequence name for WBGene00000615(col-38). History: N.A.
Y57G11C.11b,coq-3,30,5,24,22,25,36,"coq-3 encodes a putative 3,4-dihydroxy-5-hexaprenylbenzoate methyltransferase, orthologous to S. cerevisiae COQ3; by orthology, COQ-3 is predicted to be in a complex with COQ-4 (and perhaps COQ-6), and to be required for two different steps of ubiquinone synthesis; COQ-3 is required for viability, ubiquinone (coenzyme Q9) biosynthesis and for normally short lifespan; coq-3 null mutations are lethal; coq-3(RNAi) animals have reduced levels of coenzyme Q9 and superoxide, and have abnormally long lifespans. ",Methyltransferases ,Mountain 2,57,3,9.15,168,5,9.47,84,7,13.2,22,3,6.79,15,0,17.41,2,2,0.71,22,20,1.03,9,20,0.47,6,14,0.58,6,0,4.33,4,2,2.01,Y57G11C.11b,WBGene00000763,Molecule name for WBGene00000763(coq-3). History: N.A.
