# Table S3. Peptide counts for proteins identified by MudPIT analyses of GFP IP from N2 and gfp::rde-8 lysates. Related to Figure 3
Accession,Peptide counts in N2,Peptide counts in GFP::RDE-8(+),Description,Input,Suggested Match,History
C06A6.4b,0.0,3.0,CE37607 WBGene00015509 status:Confirmed TR:Q5WRS4 protein_id:AAV28364.1,C06A6.4b,WBGene00015509,Molecule name for WBGene00015509(C06A6.4). History: N.A.
F18E2.2,0.0,3.0,CE05663 WBGene00006512 locus:abcf-1 ABC transpoter status:Confirmed TR:Q19554 protein_id:CAA99835.1,F18E2.2,WBGene00006512,Sequence name for WBGene00006512(abcf-1). History: N.A.
K08F4.7,0.0,3.0,CE06155 WBGene00001752 locus:gst-4 glutathione S-transferase status:Confirmed SW:Q21355 protein_id:CAA93086.1,K08F4.7,WBGene00001752,Sequence name for WBGene00001752(gst-4). History: N.A.
T01G9.6a,0.0,3.0,CE18168 WBGene00002196 locus:kin-10 Casein kinase II regulatory subunit status:Confirmed SW:P28548 protein_id:CAB00056.1,T01G9.6a,WBGene00002196,Molecule name for WBGene00002196(kin-10). History: N.A.
F56D1.7,0.0,3.0,CE27175 WBGene00000935 locus:daz-1 status:Confirmed,F56D1.7,WBGene00000935,Sequence name for WBGene00000935(daz-1). History: N.A.
C12D8.11,0.0,3.0,CE15613 WBGene00004405 locus:rop-1 ROP-1 ribonucleoprotein RO autoantigen status:Confirmed SW:Q27274 protein_id:CAA16325.1,C12D8.11,WBGene00004405,Sequence name for WBGene00004405(rop-1). History: N.A.
Y71G12B.10,0.0,3.0,CE26261 WBGene00022150 status:Confirmed TR:Q95XN1 protein_id:AAK73908.1,Y71G12B.10,WBGene00022150,Public name for WBGene00022150. History: N.A.
ZK546.7,0.0,3.0,CE02921 WBGene00022763 status:Predicted TR:Q23518 protein_id:AAA68740.1,ZK546.7,WBGene00022763,Public name for WBGene00022763. History: N.A.
C17F4.7,0.0,3.0,CE27076 WBGene00015913 status:Confirmed TR:Q9BKP8 protein_id:AAK31439.1,C17F4.7,WBGene00015913,Public name for WBGene00015913. History: N.A.
F32D1.10,0.0,3.0,CE09874 WBGene00003159 locus:mcm-7 cell division control protein status:Confirmed TR:O16297 protein_id:AAB65356.1,F32D1.10,WBGene00003159,Sequence name for WBGene00003159(mcm-7). History: N.A.
B0334.3b,0.0,3.0,CE02935 WBGene00007143 Thiamine pyrophosphate enzymes status:Partially_confirmed TR:Q17475 protein_id:CAA91372.1,B0334.3b,WBGene00007143,Molecule name for WBGene00007143(hacl-1). History: N.A.
F12F6.6,0.0,3.0,CE05594 WBGene00004755 locus:sec-24.1 Yeast hypothetical YIK9 protein like status:Partially_confirmed TR:Q19371 protein_id:CAA97788.1,F12F6.6,WBGene00004755,Sequence name for WBGene00004755(sec-24.1). History: N.A.
C50F4.13,0.0,3.0,CE05477 WBGene00001909 locus:his-35 histone H2A status:Confirmed TR:Q27485 protein_id:CAA94747.1,C50F4.13,WBGene00001909,Sequence name for WBGene00001909(his-35). History: N.A.
C25A1.8,0.0,3.0,CE08374 WBGene00007709 locus:clec-87 lectin status:Confirmed TR:Q9XVS3 protein_id:CAB02756.1,C25A1.8,WBGene00007709,Sequence name for WBGene00007709(clec-87). History: Renamed on 2006-06-15
F29F11.6,0.0,3.0,CE20735 WBGene00001747 locus:gsp-1 serine\/threonine protein phosphatase status:Confirmed SW:Q27497 protein_id:CAA98273.1,F29F11.6,WBGene00001747,Sequence name for WBGene00001747(gsp-1). History: N.A.
C39F7.4,0.0,3.0,CE16905 WBGene00004266 locus:rab-1 RAS-related protein status:Confirmed TR:Q9UAQ6 protein_id:AAC69218.1,C39F7.4,WBGene00004266,Sequence name for WBGene00004266(rab-1). History: N.A.
T12D8.6,0.0,3.0,CE16403 WBGene00011734 EF hand status:Confirmed TR:Q9XVI9 protein_id:CAB03346.1,T12D8.6,WBGene00011734,Sequence name for WBGene00011734(mlc-5). History: N.A.
C05D11.1,0.0,3.0,CE03926 WBGene00015481 status:Confirmed SW:P48053 protein_id:AAB53833.1,C05D11.1,WBGene00015481,Public name for WBGene00015481. History: N.A.
W06D4.1,0.0,3.0,"CE29602 WBGene00001843 locus:hgo-1 HOMOGENTISATE 1,2-DIOXYGENASE (EC 1.13.11.5) (HOMOGENTISICASE) (HOMOGENTISATE OXYGENASE) (HOMOGENTISIC ACID OXIDASE) status:Confirmed SW:Q9Y041 protein_id:CAA22255.4",W06D4.1,WBGene00001843,Sequence name for WBGene00001843(hgo-1). History: N.A.
Y110A7A.18,0.0,3.0,CE23239 WBGene00004094 locus:ppw-2 status:Partially_confirmed TR:Q9N585 protein_id:AAF60414.1,Y110A7A.18,WBGene00004094,Sequence name for WBGene00004094(ppw-2). History: Renamed on 2011-10-14
C07B5.5,0.0,3.0,CE00895 WBGene00003828 locus:nuc-1 status:Confirmed SW:Q17778 protein_id:CAA86412.1,C07B5.5,WBGene00003828,Sequence name for WBGene00003828(nuc-1). History: N.A.
F56D12.1c,0.0,3.0,CE37118 WBGene00000112 locus:alh-6 status:Partially_confirmed TR:Q6A593 protein_id:AAT92072.1,F56D12.1c,WBGene00000112,Molecule name for WBGene00000112(alh-6). History: Renamed on 2017-05-16
Y54G2A.17a,0.0,3.0,CE33885 WBGene00021882 status:Partially_confirmed TR:Q8WTL1 protein_id:AAP13741.1,Y54G2A.17a,WBGene00021882,Molecule name for WBGene00021882(nprt-1). History: N.A.
Y39A1A.11,0.0,3.0,"CE19130 WBGene00000974 locus:dhs-11 Alcohol\/other dehydrogenases, short chain type, Short chain dehydrogenase\/reductase C-terminus status:Partially_confirmed TR:Q9XX28 protein_id:CAA21012.1",Y39A1A.11,WBGene00000974,Sequence name for WBGene00000974(dhs-11). History: N.A.
F26F4.10a,0.0,3.0,CE29495 WBGene00004679 locus:rrt-1 arginyl tRNA synthetase status:Confirmed SW:Q19825 protein_id:AAA91224.2,F26F4.10a,WBGene00004679,Molecule name for WBGene00004679(rars-1). History: Renamed on 2010-01-29
Y71H10B.1c,0.0,3.0,CE33740 WBGene00022201 status:Partially_confirmed TR:Q86MI3 protein_id:AAO91691.1,Y71H10B.1c,WBGene00022201,Molecule name for WBGene00022201(Y71H10B.1). History: N.A.
C55F2.1b,0.0,3.0,CE37714 WBGene00016957 status:Confirmed TR:Q95QQ4 protein_id:AAL27234.3,C55F2.1b,WBGene00016957,Molecule name for WBGene00016957(atic-1). History: N.A.
W09H1.6b,0.0,3.0,CE16577 WBGene00002264 locus:lec-1 galectin status:Confirmed TR:O45904 protein_id:CAB04960.1,W09H1.6b,WBGene00002264,Molecule name for WBGene00002264(lec-1). History: N.A.
K08F8.4,0.0,3.0,CE21050 WBGene00000240 locus:pah-1 phenylalanine-4-hydroxylase (PH4H) status:Confirmed SW:P90925 protein_id:CAA91286.1,K08F8.4,WBGene00000240,Sequence name for WBGene00000240(pah-1). History: N.A.
Y71H2AR.1,0.0,3.0,CE27323 WBGene00022188 status:Confirmed TR:Q9BL27 protein_id:AAK29986.1,Y71H2AR.1,WBGene00022188,Sequence name for WBGene00022188(txdc-17). History: N.A.
F55C5.1,0.0,3.0,CE11150 WBGene00010091 status:Confirmed TR:Q20815 protein_id:CAB01566.1,F55C5.1,WBGene00010091,Sequence name for WBGene00010091(ssp-35). History: N.A.
ZK637.13,0.0,3.0,CE36418 WBGene00014030 locus:glb-1 Globin status:Confirmed SW:P30627 protein_id:CAA77458.2,ZK637.13,WBGene00014030,Sequence name for WBGene00014030(glb-1). History: N.A.
R02D3.5,0.0,3.0,CE18099 WBGene00019823 farnesyltransferase alpha subunit status:Confirmed TR:O44501 protein_id:AAB94144.1,R02D3.5,WBGene00019823,Sequence name for WBGene00019823(fnta-1). History: N.A.
ZK652.11,0.0,3.0,CE29163 WBGene00000835 locus:cuc-1 status:Confirmed TR:Q9TYA3 protein_id:AAL00882.1,ZK652.11,WBGene00000835,Sequence name for WBGene00000835(cuc-1). History: N.A.
C18G1.4a,0.0,3.0,CE17420 WBGene00003994 locus:pgl-3 status:Confirmed TR:O61920 protein_id:AAC17755.1,C18G1.4a,WBGene00003994,Molecule name for WBGene00003994(pgl-3). History: Renamed on 2005-10-06
Y47G6A.21,0.0,3.0,CE37066 WBGene00021646 status:Confirmed TR:Q9BL81 protein_id:AAK29888.4,Y47G6A.21,WBGene00021646,Public name for WBGene00021646. History: N.A.
F35D11.4,0.0,3.0,CE32648 WBGene00018045 status:Confirmed TR:Q20034 protein_id:AAA68750.2,F35D11.4,WBGene00018045,Public name for WBGene00018045. History: N.A.
ZK180.4,0.0,3.0,CE07622 WBGene00022678 GTP-binding protein status:Confirmed SW:Q23445 protein_id:AAB52968.1,ZK180.4,WBGene00022678,Sequence name for WBGene00022678(sar-1). History: N.A.
ZK673.2,0.0,3.0,CE01714 WBGene00014058 adenylate kinase status:Confirmed SW:Q09629 protein_id:CAA88479.1,ZK673.2,WBGene00014058,Public name for WBGene00014058. History: N.A.
ZK742.1a,0.0,3.0,"CE23467 WBGene00002078 locus:imb-4 importin beta, nuclear transport factor status:Confirmed TR:Q23089 protein_id:AAB04981.2",ZK742.1a,WBGene00002078,Molecule name for WBGene00002078(xpo-1). History: Renamed on 2008-01-30
C25B8.3c,0.0,3.0,CE41106 WBGene00000786 locus:cpr-6 status:Confirmed,,,
Y38F2AL.3b,0.0,3.0,CE38743 WBGene00006920 locus:vha-11 status:Confirmed SW:Q9XXU9 protein_id:AAO91689.2,Y38F2AL.3b,WBGene00006920,Molecule name for WBGene00006920(vha-11). History: N.A.
R08E5.2b,0.0,3.0,CE33294 WBGene00019962 status:Confirmed TR:Q86NC6 protein_id:AAO26009.1,,,
C28H8.11a,0.0,3.0,"CE01822 WBGene00016201 tryptophan 2,3-dioxygenase status:Confirmed SW:Q09474 protein_id:AAA62299.1",C28H8.11a,WBGene00016201,Molecule name for WBGene00016201(tdo-2). History: N.A.
E04F6.3,0.0,3.0,CE01215 WBGene00017123 locus:maoc-1 Hydratase-dehydrogenase-epimerase status:Confirmed TR:Q19058 protein_id:AAA68358.1,E04F6.3,WBGene00017123,Sequence name for WBGene00017123(maoc-1). History: N.A.
C07H6.1,0.0,3.0,CE34522 WBGene00002986 locus:lig-4 status:Partially_confirmed TR:Q95YE6 protein_id:AAK85439.2,C07H6.1,WBGene00002986,Sequence name for WBGene00002986(lig-4). History: N.A.
R151.7a,0.0,3.0,CE39621 WBGene00020110 HSP C62.5 status:Confirmed TR:Q2L6Y6 protein_id:ABC71802.1,,,
F54D5.3,0.0,3.0,CE28033 WBGene00010049 status:Confirmed TR:Q20769 protein_id:CAA91330.2,F54D5.3,WBGene00010049,Public name for WBGene00010049. History: N.A.
Y43F8C.13,0.0,3.0,CE21911 WBGene00012834 Inosine-uridine preferring nucleoside hydrolase status:Confirmed TR:Q9XWN7 protein_id:CAA21614.1,Y43F8C.13,WBGene00012834,Public name for WBGene00012834. History: N.A.
C39E9.8b,0.0,3.0,CE05391 WBGene00008032 status:Confirmed TR:Q7JLS6 protein_id:CAE54887.1,C39E9.8b,WBGene00008032,Molecule name for WBGene00008032(C39E9.8). History: N.A.
F10G8.6,0.0,3.0,CE30749 WBGene00008664 nucleotide binding protein status:Confirmed SW:Q93459 protein_id:CAB02285.2,F10G8.6,WBGene00008664,Sequence name for WBGene00008664(nubp-1). History: N.A.
Y69E1A.2,0.0,3.0,CE22809 WBGene00013474 status:Confirmed TR:Q9XW38 protein_id:CAA22257.1,Y69E1A.2,WBGene00013474,Sequence name for WBGene00013474(nsph-3.1). History: N.A.
R11D1.9,0.0,3.0,CE40109 WBGene00011247 Human NOF1 protein like status:Confirmed SW:Q21939 protein_id:CAA99906.2,R11D1.9,WBGene00011247,Sequence name for WBGene00011247(mrpl-49). History: N.A.
Y116A8C.42,0.0,3.0,CE23346 WBGene00004914 locus:snr-1 small nuclear ribonuclearprotein SM D3 status:Confirmed SW:Q17348 protein_id:CAB55132.1,Y116A8C.42,WBGene00004914,Sequence name for WBGene00004914(snr-1). History: N.A.
F35G2.2,0.0,3.0,CE05809 WBGene00009436 E.coli YCAC like status:Confirmed TR:Q20062 protein_id:CAA93466.1,F35G2.2,WBGene00009436,Sequence name for WBGene00009436(marb-1). History: N.A.
Y38F1A.9,0.0,3.0,CE21614 WBGene00003860 locus:oig-2 status:Partially_confirmed TR:Q9XWM1 protein_id:CAA21634.1,Y38F1A.9,WBGene00003860,Sequence name for WBGene00003860(oig-2). History: N.A.
R01E6.3a,0.0,3.0,CE29433 WBGene00000282 locus:cah-4 carbonic anhydrase status:Confirmed TR:Q21614 protein_id:CAA92190.2,R01E6.3a,WBGene00000282,Molecule name for WBGene00000282(cah-4). History: N.A.
F35C5.6,0.0,3.0,"CE15947 WBGene00009394 locus:clec-63 Lectin C-type domain short and long forms, von Willebrand factor type A domain status:Confirmed TR:O45444 protein_id:CAB03058.1",F35C5.6,WBGene00009394,Sequence name for WBGene00009394(clec-63). History: N.A.
R74.1,0.0,3.0,CE16317 WBGene00003073 locus:lrs-1 leucyl-tRNA synthetase status:Partially_confirmed SW:Q09996 protein_id:CAA85280.1,R74.1,WBGene00003073,Sequence name for WBGene00003073(lars-1). History: Renamed on 2010-01-29
Y59A8B.10,0.0,3.0,CE26206 WBGene00013347 status:Confirmed TR:Q9GRY9 protein_id:CAC14410.1,Y59A8B.10,WBGene00013347,Sequence name for WBGene00013347(nova-1). History: N.A.
B0041.2c,0.0,3.0,CE33546 WBGene00015007 status:Partially_confirmed TR:Q86GT1 protein_id:AAO61448.1,B0041.2c,WBGene00015007,Molecule name for WBGene00015007(ain-2). History: N.A.
T14D7.1,0.0,3.0,CE23985 WBGene00011767 serine-pyruvate aminotransferase status:Confirmed TR:Q94055 protein_id:CAB03364.2,T14D7.1,WBGene00011767,Sequence name for WBGene00011767(agxt-1). History: N.A.
F26F4.1,0.0,3.0,CE01257 WBGene00017825 status:Confirmed TR:Q19824 protein_id:AAA91216.1,F26F4.1,WBGene00017825,Sequence name for WBGene00017825(cee-1). History: N.A.
K10C2.3,0.0,2.0,CE04749 WBGene00019619 aspartyl protease status:Partially_confirmed TR:Q94271 protein_id:AAK39258.1,K10C2.3,WBGene00019619,Sequence name for WBGene00019619(asp-14). History: N.A.
F29C12.4,0.0,2.0,"CE19822 WBGene00009246 Elongation factor Tu family (contains ATP\/GTP binding P-loop), Elongation factor G C-terminus status:Confirmed SW:Q9XV52 protein_id:CAB04216.1",F29C12.4,WBGene00009246,Sequence name for WBGene00009246(gfm-1). History: N.A.
F59G1.3,0.0,2.0,CE39945 WBGene00006933 locus:vps-35 S. cerevisiae vacuolar sorting protein status:Confirmed TR:Q21053 protein_id:AAK31535.2,F59G1.3,WBGene00006933,Sequence name for WBGene00006933(vps-35). History: N.A.
H19N07.2c,0.0,2.0,CE36180 WBGene00010406 locus:math-33 status:Confirmed SW:Q7JKC3 protein_id:CAE54910.1,H19N07.2c,WBGene00010406,Molecule name for WBGene00010406(math-33). History: N.A.
C07A12.7a,0.0,2.0,CE25764 WBGene00015561 status:Confirmed TR:Q95QX5 protein_id:AAK39154.1,C07A12.7a,WBGene00015561,Molecule name for WBGene00015561(C07A12.7). History: N.A.
T02D1.8,0.0,2.0,CE39273 WBGene00011374 status:Confirmed TR:Q7JKF0 protein_id:CAE54899.2,T02D1.8,WBGene00011374,Public name for WBGene00011374. History: N.A.
F53A2.6,0.0,2.0,CE31809 WBGene00002059 locus:ife-1 EUKARYOTIC TRANSLATION INITIATION FACTOR 4E (EIF-4E) (EIF4E) (MRNA CAP-BINDING PROTEIN) (EIF-4F 25 KD SUBUNIT) status:Confirmed SW:O45551 protein_id:CAB04454.2,F53A2.6,WBGene00002059,Sequence name for WBGene00002059(ife-1). History: N.A.
T08A9.7,0.0,2.0,CE31233 WBGene00004988 locus:spp-3 status:Confirmed TR:Q22336 protein_id:AAM69087.1,T08A9.7,WBGene00004988,Sequence name for WBGene00004988(spp-3). History: N.A.
M106.5,0.0,2.0,CE01608 WBGene00000293 locus:cap-2 F-actin capping protein beta subunit status:Confirmed SW:P34686 protein_id:CAA87051.1,M106.5,WBGene00000293,Sequence name for WBGene00000293(cap-2). History: N.A.
F52E1.14,0.0,2.0,CE04633 WBGene00044696 status:Confirmed TR:Q2PJ97 protein_id:ABC48250.1,F52E1.14,WBGene00044696,Public name for WBGene00044696. History: N.A.
F13G3.10,0.0,2.0,CE17660 WBGene00008768 status:Confirmed TR:P90836 protein_id:CAA95825.1,F13G3.10,WBGene00008768,Public name for WBGene00008768. History: N.A.
ZK669.4,0.0,2.0,CE01115 WBGene00014054 lipoamide acyltransferase status:Confirmed TR:Q23571 protein_id:CAA85465.1,ZK669.4,WBGene00014054,Sequence name for WBGene00014054(dbt-1). History: N.A.
T12E12.4b,0.0,2.0,CE30173 WBGene00001093 locus:drp-1 status:Confirmed TR:Q8WQC9 protein_id:AAL56622.1,T12E12.4b,WBGene00001093,Molecule name for WBGene00001093(drp-1). History: N.A.
F58G11.2,0.0,2.0,CE41245 WBGene00010280 ATP-dependent RNA helicase like status:Partially_confirmed TR:P90897 protein_id:CAB03153.2,F58G11.2,WBGene00010280,Sequence name for WBGene00010280(rde-12). History: N.A.
K07D4.3,0.0,2.0,CE19527 WBGene00004467 locus:rpn-11 status:Confirmed SW:O76577 protein_id:AAC26287.1,K07D4.3,WBGene00004467,Sequence name for WBGene00004467(rpn-11). History: N.A.
R11A8.6,0.0,2.0,CE06304 WBGene00002152 locus:irs-1 isoleucyl-tRNA synthetase status:Partially_confirmed SW:Q21926 protein_id:CAA94369.1,R11A8.6,WBGene00002152,Sequence name for WBGene00002152(iars-1). History: Renamed on 2010-01-29
R03A10.4a,0.0,2.0,CE29335 WBGene00010984 locus:nkat-3 gluamine-phenylpyruvate transaminase status:Partially_confirmed TR:Q8MP09 protein_id:CAA93673.2,R03A10.4a,WBGene00010984,Molecule name for WBGene00010984(nkat-3). History: N.A.
C06G4.2b,0.0,2.0,CE37744 WBGene00000542 locus:clp-1 status:Confirmed SW:P34308 protein_id:AAV58888.1,C06G4.2b,WBGene00000542,Molecule name for WBGene00000542(clp-1). History: N.A.
C56C10.8,0.0,2.0,CE02573 WBGene00002045 locus:icd-1 Transcription factor BTF3 (human) status:Confirmed SW:Q18885 protein_id:AAA68776.1,C56C10.8,WBGene00002045,Sequence name for WBGene00002045(icd-1). History: N.A.
Y37D8A.2,0.0,2.0,CE20207 WBGene00012544 status:Confirmed SW:Q9XWV2 protein_id:CAA21539.1,Y37D8A.2,WBGene00012544,Public name for WBGene00012544. History: N.A.
F46H5.7b,0.0,2.0,CE31170 WBGene00018522 status:Partially_confirmed TR:Q8MQ42 protein_id:AAM69116.1,F46H5.7b,WBGene00018522,Molecule name for WBGene00018522(F46H5.7). History: N.A.
T20F5.2,0.0,2.0,CE13818 WBGene00003950 locus:pbs-4 peptidase status:Confirmed,T20F5.2,WBGene00003950,Sequence name for WBGene00003950(pbs-4). History: N.A.
Y56A3A.28,0.0,2.0,CE37294 WBGene00013240 status:Partially_confirmed TR:Q9U235 protein_id:CAB60505.2,Y56A3A.28,WBGene00013240,Public name for WBGene00013240. History: N.A.
Y49E10.2,0.0,2.0,CE22220 WBGene00013029 locus:glrx-5 status:Confirmed TR:Q9XTU9 protein_id:CAB11547.1,Y49E10.2,WBGene00013029,Sequence name for WBGene00013029(glrx-5). History: N.A.
C07G2.1a,0.0,2.0,CE00665 WBGene00000465 locus:cej-1 Endochitinase (partial) status:Confirmed SW:Q17802 protein_id:CAA83679.1,C07G2.1a,WBGene00000465,Molecule name for WBGene00000465(cpg-1). History: Renamed on 2006-06-16; Renamed on 2008-01-14
T05E11.1,0.0,2.0,CE06360 WBGene00004474 locus:rps-5 40S ribosomal protein S5 status:Confirmed SW:P49041 protein_id:CAA92971.1,T05E11.1,WBGene00004474,Sequence name for WBGene00004474(rps-5). History: N.A.
H15N14.1c,0.0,2.0,CE32459 WBGene00000079 locus:adr-1 Double-stranded RNA binding motif (2 domains) status:Confirmed TR:Q9U3D6 protein_id:CAB09530.2,H15N14.1c,WBGene00000079,Molecule name for WBGene00000079(adr-1). History: N.A.
F36A2.3,0.0,2.0,CE15964 WBGene00009453 status:Confirmed TR:O62128 protein_id:CAB03073.1,F36A2.3,WBGene00009453,Public name for WBGene00009453. History: N.A.
F47B10.7,0.0,2.0,CE32423 WBGene00009818 locus:acbp-3 acyl-CoA-binding protein status:Confirmed SW:Q20507 protein_id:CAA91987.2,F47B10.7,WBGene00009818,Sequence name for WBGene00009818(acbp-3). History: N.A.
F47B10.2,0.0,2.0,CE03352 WBGene00009813 histidine ammonia-lyase status:Partially_confirmed SW:Q20502 protein_id:CAA91982.1,F47B10.2,WBGene00009813,Sequence name for WBGene00009813(haly-1). History: N.A.
F45G2.4,0.0,2.0,CE16047 WBGene00009732 status:Confirmed SW:O62246 protein_id:CAB07613.1,F45G2.4,WBGene00009732,Sequence name for WBGene00009732(cope-1). History: N.A.
Y37E3.7,0.0,2.0,CE26658 WBGene00004409 locus:rla-1 status:Confirmed SW:P91913 protein_id:AAK27864.1,Y37E3.7,WBGene00004409,Sequence name for WBGene00004409(rla-1). History: N.A.
C47B2.5,0.0,2.0,CE17565 WBGene00001234 locus:eif-6 EUKARYOTIC TRANSLATION INITIATION FACTOR 6 (EIF-6) status:Confirmed SW:O62106 protein_id:CAB16860.1,C47B2.5,WBGene00001234,Sequence name for WBGene00001234(eif-6). History: N.A.
F35G12.11,0.0,2.0,CE36485 WBGene00009444 status:Confirmed TR:Q20057 protein_id:CAA86333.2,F35G12.11,WBGene00009444,Sequence name for WBGene00009444(erh-2). History: N.A.
F15G9.4b,0.0,2.0,CE18596 WBGene00001863 locus:him-4 IG (immunoglobulin) superfamily (47 domains) status:Confirmed TR:O76518 protein_id:CAA87345.1,F15G9.4b,WBGene00001863,Molecule name for WBGene00001863(him-4). History: N.A.
F44G3.6,0.0,2.0,CE16037 WBGene00004809 locus:skr-3 status:Confirmed TR:O45517 protein_id:CAB05516.1,F44G3.6,WBGene00004809,Sequence name for WBGene00004809(skr-3). History: N.A.
K05F1.3,0.0,2.0,CE02807 WBGene00019406 Acyl-coA dehydrogenase status:Confirmed TR:Q21243 protein_id:AAA68712.1,K05F1.3,WBGene00019406,Sequence name for WBGene00019406(acdh-8). History: N.A.
T27E4.8,0.0,2.0,CE14249 WBGene00002015 locus:hsp-16.1 heat shock protein HSP16-1 status:Confirmed SW:P34696 protein_id:AAB04839.1,T27E4.8,WBGene00002015,Sequence name for WBGene00002015(hsp-16.1). History: N.A.
Y39A1A.3,0.0,2.0,CE19121 WBGene00012643 status:Confirmed TR:Q9XTC1 protein_id:CAA21495.1,Y39A1A.3,WBGene00012643,Public name for WBGene00012643. History: N.A.
F27D4.5,0.0,2.0,CE05736 WBGene00006518 locus:tag-173 2-oxoisovalerate dehydrogenase status:Confirmed TR:Q93619 protein_id:CAB01970.1,F27D4.5,WBGene00006518,Sequence name for WBGene00006518(bckd-1B). History: Renamed on 2016-11-29
C34E7.4,0.0,2.0,CE03061 WBGene00007934 status:Confirmed TR:Q17674 protein_id:CAA91795.1,C34E7.4,WBGene00007934,Public name for WBGene00007934. History: N.A.
Y75B8A.30,0.0,2.0,CE23041 WBGene00004085 locus:pph-4.1 Ser\/Thr protein phosphatase status:Confirmed TR:Q9XW79 protein_id:CAA22090.1,Y75B8A.30,WBGene00004085,Sequence name for WBGene00004085(pph-4.1). History: N.A.
C12C8.3a,0.0,2.0,CE27062 WBGene00003026 locus:lin-41 status:Confirmed SW:Q9U489 protein_id:CAC42254.1,C12C8.3a,WBGene00003026,Molecule name for WBGene00003026(lin-41). History: Renamed on 2005-08-24
Y48G9A.1,0.0,2.0,CE30024 WBGene00021695 status:Partially_confirmed TR:Q9BL71 protein_id:AAK29920.2,Y48G9A.1,WBGene00021697,"Public name for Dead gene WBGene00021695. History of WBGene00021695: Merged into ""WBGene00021697"" on 2008-05-07"
B0564.2,0.0,2.0,CE05176 WBGene00007202 status:Partially_confirmed TR:Q17527 protein_id:CAA97764.1,B0564.2,WBGene00007202,Public name for WBGene00007202. History: N.A.
Y54E10BL.6,0.0,2.0,CE25437 WBGene00003186 locus:mek-2 protein kinase status:Confirmed SW:Q10664 protein_id:AAF60779.1,Y54E10BL.6,WBGene00003186,Sequence name for WBGene00003186(mek-2). History: N.A.
